name_y;neighbourhood_ID;room_type_ID;price;minimum_nights;availability_365
Clean  quiet apt home by the park;80;1;149;1;365
Skylit Midtown Castle;113;2;225;1;355
THE VILLAGE OF HARLEMNEW YORK ;106;1;150;3;365
Cozy Entire Floor of Brownstone;62;2;89;1;194
Entire Apt Spacious StudioLoft by central park;100;2;80;10;0
Large Cozy 1 BR Apartment In Midtown East;115;2;200;3;129
BlissArtsSpace;51;1;60;45;0
Large Furnished Room Near Bway ;107;1;79;2;220
Cozy Clean Guest Room  Family Apt;125;1;79;2;0
Cute  Cozy Lower East Side 1 bdrm;98;2;150;1;188
Beautiful 1br on Upper West Side;125;2;135;5;6
Central Manhattannear Broadway;107;1;85;2;39
Lovely Room 1 Garden Best Area Legal rental;91;1;89;4;314
Wonderful Guest Bedroom in Manhattan for SINGLES;125;1;85;2;333
West Village Nest  Superhost;127;2;120;90;0
Only 2 stops to Manhattan studio;94;2;140;2;46
Perfect for Your Parents  Garden;75;2;215;2;321
Chelsea Perfect;97;1;140;1;12
Hip Historic Brownstone Apartment with Backyard;66;2;99;3;21
Huge 2 BR Upper East  Cental Park;100;2;190;7;249
Sweet and Spacious Brooklyn Loft;94;2;299;3;0
CBG CtyBGd HelpsHaiti rm114;85;1;130;2;347
CBG Helps Haiti Room25;85;1;80;1;364
CBG Helps Haiti Rm 2;85;1;110;2;304
MAISON DES SIRENES1bohemian apartment;51;2;120;2;233
Sunny Bedroom Across Prospect Park;95;1;60;1;85
Magnifique Suite au N de Manhattan  vue Cloitres;108;1;80;4;0
Midtown Piedaterre;107;2;150;10;75
SPACIOUS LOVELY FURNISHED MANHATTAN BEDROOM;108;1;44;3;311
Modern 1 BR  NYC  EAST VILLAGE;101;2;180;14;67
front roomdouble bed;106;1;50;3;355
Spacious 1 bedroom in luxe building;106;1;52;2;255
Loft in Williamsburg Area w Roof;79;1;55;4;284
back roombunk beds;106;1;50;3;359
Large BB Style rooms;51;1;70;1;269
Lovely room 2  garden Best area Legal rental;91;1;89;4;340
Clean and Quiet in Brooklyn;51;1;35;60;365
Cute apt in artists home;59;2;85;2;22
Country space in the city;73;1;150;1;365
LowerEastSide apt share shortterm 1;111;3;40;1;188
ENJOY Downtown NYC;101;1;68;2;96
Beautiful Sunny Park Slope Brooklyn;91;2;120;3;345
1bdr w private bath in lofty apt;75;1;120;7;311
West Side Retreat;125;1;135;4;273
BEST BET IN HARLEM;106;2;150;7;309
Entire apartment in central Brooklyn neighborhood;87;2;150;29;95
1 Stop fr Manhattan Private SuiteLandmark Block;161;1;130;3;215
Charming Brownstone 3  Near PRATT;51;2;110;7;265
bright and stylish duplex;51;2;115;3;0
Fort Greene brownstone ;75;1;80;3;192
Blue Room for 2 in Brownstone for 1350 monthly;51;1;80;1;251
Cozy 1BD on Central Park West in New York City;125;2;151;2;302
