name,price,minimum_nights,availability_365
Clean & quiet apt home by the park,149,1,365
Skylit Midtown Castle,225,1,355
THE VILLAGE OF HARLEM....NEW YORK !,150,3,365
Cozy Entire Floor of Brownstone,89,1,194
Entire Apt: Spacious Studio/Loft by central park,80,10,0
Large Cozy 1 BR Apartment In Midtown East,200,3,129
BlissArtsSpace!,60,45,0
Large Furnished Room Near B'way ,79,2,220
Cozy Clean Guest Room - Family Apt,79,2,0
Cute & Cozy Lower East Side 1 bdrm,150,1,188
Beautiful 1br on Upper West Side,135,5,6
Central Manhattan/near Broadway,85,2,39
"Lovely Room 1, Garden, Best Area, Legal rental",89,4,314
Wonderful Guest Bedroom in Manhattan for SINGLES,85,2,333
West Village Nest - Superhost,120,90,0
Only 2 stops to Manhattan studio,140,2,46
Perfect for Your Parents + Garden,215,2,321
Chelsea Perfect,140,1,12
Hip Historic Brownstone Apartment with Backyard,99,3,21
Huge 2 BR Upper East  Cental Park,190,7,249
Sweet and Spacious Brooklyn Loft,299,3,0
CBG CtyBGd HelpsHaiti rm#1:1-4,130,2,347
CBG Helps Haiti Room#2.5,80,1,364
CBG Helps Haiti Rm #2,110,2,304
"MAISON DES SIRENES1,bohemian apartment",120,2,233
Sunny Bedroom Across Prospect Park,60,1,85
Magnifique Suite au N de Manhattan - vue Cloitres,80,4,0
Midtown Pied-a-terre,150,10,75
"SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM",44,3,311
Modern 1 BR / NYC / EAST VILLAGE,180,14,67
front room/double bed,50,3,355
Spacious 1 bedroom in luxe building,52,2,255
Loft in Williamsburg Area w/ Roof,55,4,284
back room/bunk beds,50,3,359
Large B&B Style rooms,70,1,269
"Lovely room 2 & garden; Best area, Legal rental",89,4,340
Clean and Quiet in Brooklyn,35,60,365
Cute apt in artist's home,85,2,22
Country space in the city,150,1,365
LowerEastSide apt share shortterm 1,40,1,188
ENJOY Downtown NYC!,68,2,96
Beautiful Sunny Park Slope Brooklyn,120,3,345
1bdr w private bath. in lofty apt,120,7,311
West Side Retreat,135,4,273
BEST BET IN HARLEM,150,7,309
Entire apartment in central Brooklyn neighborhood.,150,29,95
"1 Stop fr. Manhattan! Private Suite,Landmark Block",130,3,215
Charming Brownstone 3 - Near PRATT,110,7,265
bright and stylish duplex,115,3,0
Fort Greene brownstone ,80,3,192
Blue Room for 2 in Brownstone for $1350 monthly,80,1,251
Cozy 1BD on Central Park West in New York City,151,2,302
* ORIGINAL BROOKLYN LOFT *,228,3,140
Greenpoint Place...Has It All! ,144,2,234
Beautiful Apartment in Manhattan!!!,200,7,257
Williamsburg 1 bedroom Apartment,150,30,30
"Great Location, Manhattan Bedroom!",110,5,301
Best Location in NYC! TIMES SQUARE!,69,2,294
Room in Greenpoint Loft w/ Roof,49,4,320
**Bright Nolita Apt w Doorman/Elevators/Gym**,180,30,154
"Very, very cozy place",80,2,263
Sunny & Spacious Chelsea Apartment,375,180,180
2 bedroom - Upper East Side-great for kids,250,2,231
Comfortable 4-bedroom apt in family house.,200,30,297
Double Room w Private Deck Clinton Hill Best Area,55,7,292
Your Heaven in Hells Kitchen,52,30,191
Light-filled 2B duplex in the heart of Park Slope!,225,3,0
"Sunny, Modern room in East Village!",80,1,72
*HAVEN LOFT - Entire Floor - Six Windows - Bricks*,275,1,362
Large Room in Amazing East Village Apt,99,1,336
SpaHa Loft: Enormous and Bright,225,4,215
Lovely EV Artist's Home,230,9,116
Cool Room in Hell's Kitchen,51,7,88
"HARLEM, NEW YORK WELCOMES YOU!!",65,2,336
BLUE TRIM GUEST HOUSE,105,2,304
Charming East Village One Bedroom Flat,190,5,224
Manhattan Room,200,1,322
Little King of Queens,70,30,324
Fort Greene Retreat on the Park,95,3,132
Beautiful Meatpacking District Loft,150,3,295
Cozy 2 BR in Williamsburg ,145,3,238
Spacious luminous apt Upper West NYC,110,31,209
Entire 2 Bedroom - Large & Sunny,285,5,328
"Sunny, Spacious Top Floor Haven",130,6,38
Private room Great Deal at Lower East Side,94,30,188
perfect for a family or small group,800,1,7
2 bedroom Williamsburg Apt - Bedford L stop,105,3,272
Oh glorious spring!,60,3,26
Great Location for NYC,50,1,0
Cozy Bedroom in Williamsburg 3 BR,85,3,288
Sunny room+Pvte office in huge loft,65,4,317
Spacious Prospect Heights Apartment,131,4,207
"Large Parlor Room, Landmark Home 1 block to PRATT",98,7,185
2-bed brownstone duplex + garden,250,7,158
Charming 1 bed GR8 WBurg LOCATION!,100,5,0
Sunny Apartment in Artist Home,105,3,9
Light-filled classic Central Park ,140,3,198
"Upper Manhattan, New York",89,1,365
COZY QUIET room 4 DOOGLERS!,98,30,364
The Stuydio Modern and Light Filled,125,7,311
loft bed - near transportation-15min to times sq,60,3,219
House On Henry (3rd FLR Suite),175,2,342
Monkey Retreat Manhattan,65,2,312
2000 SF 3br 2bath West Village private  townhouse,500,4,243
"Williamsburg—Steps To Subway, Private Bath&Balcony",101,3,152
Beautiful Duplex Apartment,220,30,9
Large 2 Bedroom Great for Groups!,125,90,137
"Modern Brooklyn Apt., August sublet",80,30,222
"1,800 sq foot in luxury building",100,2,346
Sunny 2-story Brooklyn townhouse w deck and garden,200,30,208
"Times Square, Safe, Clean and Cozy!",59,2,279
"Cozy Room #3, Landmark Home 1 Block to PRATT",125,2,250
Beautiful Apartment East Village,140,7,164
Park Slope Green Guest House,120,30,192
2 BR / 2 Bath Duplex Apt with patio! East Village,350,2,298
NYC fabulous views Manhattan's eye,199,5,260
2 story family home in Williamsburg,325,3,107
Comfortable UWS 2-BD Family-Friendly Brownstone,235,6,199
Great Large 1 BR apt  in East Village!,225,1,299
Eveland Private Bed & Living Room w/ Own Entrance,99,2,20
Sugar Hill Rest Stop ,170,2,318
3 Story Town House in Park Slope,400,2,216
apartment next to Central park,170,7,224
East Village Sanctuary,100,4,0
Large 1  BR in a 3 BR Brooklyn apt. next to Q Trn.,75,2,324
Modern Apt with Spectacular Views,90,1,245
Garden studio in the Upper East Sid,150,5,189
Secluded Master Bedroom in Beautiful Huge Apt,85,15,307
B & B Room 1,70,3,310
ACCOMMODATIONS GALORE #1,120,3,213
Sunny Room in New Condo,89,3,278
Stylish & Sleek Apartment Near SoHo!,185,5,209
NYC artists’ loft with roof deck,50,3,0
Unique & Charming small 1br Apt. LES,105,3,16
Most Central Location!,130,2,234
Luminous Beautiful West Village Studio,115,29,12
Sanctuary in East Flatbush,77,2,178
Room with En Suite Bathroom & Deck,76,2,275
FLAT MACDONOUGH,125,3,163
Huge Private  Floor at The Waverly,135,4,365
"Modern Greenpoint, Brooklyn Apt",250,29,34
"Sun-drenched, artsy modernist 1 BDRM duplex",199,3,280
"Sunny, Cobble Hill Apartment",140,2,0
Fully Furnished Basement Apartment,140,2,1
FLAT MACDONOUGH GARDEN,115,3,170
Light filled Williamsburg Apartment,160,3,188
Retreat in Williamsburg,195,4,214
NYC Zen,195,3,248
Cozy BR in Wiliamsburg 3 Bedroom,80,3,262
Sunny Room in Old Historical Brooklyn Townhouse,44,8,280
Sun Filled Classic West Village Apt,156,4,307
Lg Rm in Historic Prospect Heights,85,15,339
Classic Artist Loft Williamsburg,125,3,1
Great location. Spacious on PROSPECT PARK,115,15,269
Private Bdrm/Bathrm. New! Elevator!,69,2,10
"Sunny, clean 1 bdrm in W. Village",225,45,312
Great location in Williamsburg,125,6,189
Light and Airy Upper East Side 1 BDR apartment,219,4,290
Luxury Brownstone in Boerum Hill,475,3,230
CENTRAL PARK LOFT all for YOU,99,1,164
Indie-Chic Share In Williamsburg,69,4,53
"A room w/ a Manhattan view, longer stay",79,30,126
"Private, Large & Sunny 1BR w/W&D",135,2,3
Luxurious Condo in DUBMO with View,250,3,189
Charming & Cozy midtown loft any WEEK ENDS  !!!,250,3,365
* Spacious GARDEN Park Slope Duplex* 6 people max,250,2,0
Convenient cozy cheap apt Manhattan,80,3,0
Parlor Room In Victorian Townhouse,70,2,336
House On Henry (2nd FLR Suite),165,2,342
New York room with a view,70,2,312
Sunny cozy room in Brklyn townhouse,50,2,37
Room with a View,40,1,353
Light+Open+Airy+Rustic+Modern Loft,150,2,177
West Inn 2 - East Village,125,1,310
Financial District Luxury Loft,196,3,0
BROOKLYN VICTORIAN STYLE SUITE.....,110,2,321
Your own Lovely West Village Studio,170,3,246
ACCOMMODATIONS GALORE#3. 1-5 GUESTS,165,3,231
Greenwich Village Stylish Apartment,150,26,225
Clean and Cozy Harlem Apartment,100,2,0
"Fort Greene, Brooklyn: Center Bedroom",65,2,0
Beautiful Queens Brownstone! - 5BR,350,8,365
Couldn't Be Closer To Columbia Uni,99,4,233
Bright Spacious Luxury Condo,200,4,1
Park Slope haven 15 mins from Soho,150,5,18
SAFE  AND BEAUTIFUL ACCOMODATION,90,3,343
Large Room in private Brownstone in Park Slope,120,3,250
"NEW YORK CITY, 1 BDRM.(NEAR CENTRAL PARK & METRO)",75,3,326
"LARGE, COMFY 1BDR W/CHARACTER!!!",175,26,364
Chelsea Studio sublet 1 - 2 months,125,3,0
LUX APT IN TIMES SQUARE NEW BUILDING,275,1,299
Designer 1 BR Duplex w/ Terrace- Spectacular Views,299,2,207
Lovely Apt & Garden;  Legal;  Best Area; Amenities,135,5,162
1 Bedroom in 2 Bdrm Apt- Upper East,130,14,0
Lower East Side $57~/night,83,1,7
Prime Location in Manhattan,123,1,328
( F) Excellent/Pvt Rm,55,2,365
"Quiet, sunny Midtown Manhattan apt.",195,5,0
Big Room/Washer-Dryer/Wifi/AC/JMZ,80,2,0
cozy studio with parking spot,98,30,240
Clean and convenient 2BR apartment,140,7,365
3 floors of luxury!,265,7,365
